time;signal
114;372
114.2;390
114.4;392
114.6;390
114.8;391
115;390
115.2;380
115.4;381
115.6;379
115.8;378
116;373
116.2;380
116.4;375
116.6;379
116.8;377
117;377
117.2;378
117.4;378
117.6;380
117.8;373
118;385
118.2;378
118.4;381
118.6;379
118.8;378
119;376
119.2;394
119.4;394
119.6;391
119.8;397
120;389
120.2;381
120.4;381
120.6;382
120.8;385
121;376
121.2;374
121.4;384
121.6;380
121.8;378
122;381
122.2;382
122.4;381
122.6;375
122.8;376
123;378
123.2;378
123.4;383
123.6;379
123.8;377
124;378
124.2;394
124.4;392
124.6;392
124.8;394
125;395
125.2;384
125.4;377
125.6;381
125.8;376
126;380
126.2;376
126.4;383
126.6;386
126.8;383
127;378
127.2;381
127.4;383
127.6;379
127.8;381
128;379
128.2;376
128.4;381
128.6;379
128.8;379
129;374
129.2;385
129.4;385
129.6;387
129.8;386
130;383
130.2;396
130.4;396
130.6;393
130.8;395
131;390
131.2;376
131.4;378
131.6;377
131.8;388
132;375
132.2;382
132.4;376
132.6;380
132.8;379
133;379
133.2;377
133.4;378
133.6;384
133.8;378
134;378
134.2;383
134.4;385
134.6;388
134.8;388
135;385
135.2;388
135.4;397
135.6;394
135.8;394
136;390
136.2;384
136.4;375
136.6;379
136.8;378
137;377
137.2;385
137.4;377
137.6;381
137.8;371
138;376
138.2;384
138.4;378
138.6;380
138.8;377
139;381
139.2;375
139.4;379
139.6;380
139.8;382
140;380
140.2;385
140.4;392
140.6;396
140.8;398
141;394
141.2;381
141.4;382
141.6;381
141.8;378
142;376
142.2;380
142.4;380
142.6;379
142.8;383
143;378
143.2;375
143.4;369
143.6;378
143.8;377
144;379
144.2;381
144.4;376
144.6;381
144.8;378
145;377
145.2;387
145.4;386
145.6;387
145.8;387
146;382
146.2;377
146.4;381
146.6;379
146.8;378
147;379
147.2;378
147.4;378
147.6;380
147.8;380
148;379
148.2;378
148.4;378
148.6;377
148.8;374
149;376
149.2;381
149.4;383
149.6;383
149.8;382
150;379
150.2;376
150.4;380
150.6;381
150.8;380
151;372
151.2;380
151.4;387
151.6;388
151.8;387
152;386
152.2;392
152.4;389
152.6;392
152.8;395
153;396
153.2;381
153.4;382
153.6;381
153.8;375
154;378
154.2;379
154.4;378
154.6;376
154.8;384
155;378
155.2;383
155.4;384
155.6;378
155.8;381
156;384
156.2;384
156.4;379
156.6;372
156.8;377
157;380
157.2;393
157.4;392
157.6;397
157.8;397
158;393
158.2;382
158.4;383
158.6;378
158.8;378
159;379
159.2;379
159.4;380
159.6;386
159.8;379
160;383
160.2;375
160.4;376
160.6;378
160.8;384
161;379
161.2;375
161.4;380
161.6;377
161.8;377
162;377
162.2;386
162.4;381
162.6;385
162.8;384
163;389
163.2;379
163.4;380
163.6;375
163.8;380
164;378
164.2;380
164.4;380
164.6;379
164.8;376
165;382
165.2;381
165.4;380
165.6;384
165.8;384
166;384
166.2;379
166.4;376
166.6;382
166.8;379
167;382
167.2;391
167.4;393
167.6;394
167.8;397
168;390
168.2;383
168.4;385
168.6;384
168.8;385
169;386
169.2;381
169.4;379
169.6;378
169.8;377
170;376
170.2;387
170.4;386
170.6;380
170.8;387
171;377
171.2;382
171.4;381
171.6;390
171.8;378
172;377
172.2;386
172.4;389
172.6;380
172.8;387
173;387
173.2;385
173.4;387
173.6;386
173.8;386
174;386
174.2;382
174.4;387
174.6;379
174.8;375
175;382
175.2;417
175.4;421
175.6;421
175.8;415
176;421
176.2;382
176.4;378
176.6;381
176.8;380
177;375
177.2;377
177.4;379
177.6;380
177.8;382
178;380
178.2;380
178.4;379
178.6;377
178.8;377
179;382
179.2;380
179.4;383
179.6;381
179.8;377
180;378
180.2;392
180.4;395
180.6;391
180.8;393
181;391
181.2;385
181.4;382
181.6;377
181.8;379
182;380
182.2;378
182.4;384
182.6;379
182.8;376
183;378
183.2;382
183.4;379
183.6;381
183.8;380
184;380
184.2;380
184.4;381
184.6;380
184.8;378
185;379
185.2;392
185.4;392
185.6;390
185.8;390
186;392
186.2;389
186.4;385
186.6;388
186.8;384
187;382
187.2;381
187.4;380
187.6;378
187.8;377
188;382
188.2;378
188.4;383
188.6;381
188.8;382
189;386
189.2;378
189.4;373
189.6;385
189.8;380
190;378
190.2;389
190.4;395
190.6;394
190.8;397
191;395
191.2;389
191.4;385
191.6;384
191.8;384
192;386
192.2;376
192.4;378
192.6;377
192.8;378
193;378
193.2;377
193.4;373
193.6;381
193.8;381
194;375
194.2;378
194.4;379
194.6;379
194.8;383
195;379
195.2;390
195.4;394
195.6;396
195.8;391
196;391
196.2;382
196.4;379
196.6;377
196.8;378
197;386
197.2;382
197.4;378
197.6;375
197.8;377
198;380
198.2;376
198.4;380
198.6;383
198.8;380
199;375
199.2;379
199.4;374
199.6;382
199.8;380
200;379
200.2;392
200.4;396
200.6;395
200.8;395
201;395
201.2;384
201.4;381
201.6;380
201.8;380
202;379
202.2;381
202.4;383
202.6;379
202.8;376
203;382
203.2;382
203.4;378
203.6;379
203.8;384
204;380
204.2;387
204.4;387
204.6;387
204.8;388
205;383
205.2;398
205.4;388
205.6;391
205.8;391
206;392
206.2;384
206.4;376
206.6;384
206.8;379
207;381
207.2;383
207.4;379
207.6;378
207.8;377
208;380
208.2;378
208.4;379
208.6;377
208.8;379
209;378
209.2;379
209.4;389
209.6;382
209.8;387
210;391
210.2;398
210.4;400
210.6;398
210.8;402
211;395
211.2;391
211.4;380
211.6;382
211.8;380
212;378
212.2;378
212.4;377
212.6;378
212.8;377
213;386
213.2;379
213.4;374
213.6;376
213.8;382
214;378
214.2;380
214.4;380
214.6;378
214.8;377
215;381
215.2;386
215.4;387
215.6;388
215.8;385
216;387
216.2;377
216.4;378
216.6;378
216.8;379
217;376
217.2;381
217.4;380
217.6;380
217.8;379
218;379
218.2;381
218.4;382
218.6;376
218.8;375
219;380
219.2;384
219.4;375
219.6;377
219.8;385
220;383
220.2;390
220.4;394
220.6;394
220.8;396
221;392
221.2;380
221.4;377
221.6;380
221.8;381
222;382
222.2;382
222.4;385
222.6;385
222.8;386
223;384
223.2;398
223.4;395
223.6;395
223.8;394
224;390
224.2;383
224.4;378
224.6;377
224.8;376
225;382
225.2;380
225.4;388
225.6;380
225.8;381
226;383
226.2;386
226.4;376
226.6;379
226.8;382
227;378
227.2;384
227.4;378
227.6;381
227.8;382
228;378
228.2;396
228.4;403
228.6;401
228.8;401
229;401
229.2;376
229.4;379
229.6;378
229.8;379
230;381
230.2;372
230.4;382
230.6;383
230.8;381
231;381
231.2;379
231.4;374
231.6;377
231.8;381
232;383
232.2;377
232.4;380
232.6;376
232.8;377
233;384
233.2;393
233.4;393
233.6;393
233.8;391
234;392
234.2;381
234.4;376
234.6;380
234.8;385
235;383
235.2;381
235.4;388
235.6;390
235.8;384
236;386
236.2;377
236.4;378
236.6;377
236.8;377
237;379
237.2;381
237.4;379
237.6;381
